Secrets Cap Cana Resort & Spa,"Excelente servicio, deliciosa comida, clima perfecto, muy limpio resort, buenas actividades, acceso a playa, albercas grandes, barra de cafe abierta 24 hrs, cuartos amplios y limpios, definitivamente regresaria de nuevo."
Secrets Cap Cana Resort & Spa,"Exelente servicio de Angelo y el resto del staff Muchas gracias por atendernos al maximo y su arduo trabajo. Su alegria, amabilidad y delicadesa hacia nosotros fue de CALIDAD! Esperamos regresar muy pronto"
Secrets Cap Cana Resort & Spa,"Mi visita en Secret CampCana fue divino! Mi conserje personal, Osvaldo fue muy profesional y atento. Cada manana nos envio las clases y eventos disponible ese dia y chequeo con mi familia para segurar que el experienco de nosotros iba bien. El servicio de Juan y Jeffrey en el bar fue espectacular! Trabajan muy duro y saben como conversar con todos. Mi familia y yo nos reimos bastante con ellos! Yo personalmente me diverti en la clase de yoga y pole dancing en la piscina con los instructores, Miguel y Alberto. Sus energia y poder de entusiasmar a todo mundo fue otro nivel. Atendi en el clase de Picasso painting con Henry y Redbull y nos encanto! Tambien tengo que mencionar a mis damas divinas en el Market Cafe. Ana, Noelia, Ramona y Maria son tan amables y siempre nos saludaron y"
Secrets Cap Cana Resort & Spa,"Nos hospedamos en en el Hotel Secrests cap Cana, nuestro consierge Angelo Mercedes nos brindo un excelente servicio, una persona super atenta , amable lo cual hizo que nuestra estadia las disfrutamos 100% al maximo."
Secrets Cap Cana Resort & Spa,"Tuvimos la mejor experiencia, definitivamente el mejor Hotel que hemos visitado. Nuestro Concierge Angelo siempre al pendiente de todo y atento a cada detalle y/o peticion. Y queremos agradecer a Pujols, Maria y demas por las atenciones en el area de la piscina haciendonos sentir como reyes. El servicio en los restaurantes, barras, cafe, habitacion... todo EXCELENTE. Nuestra luna de miel fue magica y no queriamos irnos. Pronto volveremos."
Secrets Cap Cana Resort & Spa,"El mejor hotel Secrets Cap Cana ❤️ La atencion en absolutamente todo fue exquisita, placentera y comoda! Y excelente concierge Matiel Reyes, siempre con nosotros al pendiente que estuvieramos bien, que todo fuera en orden y disfrutaramos la estadia en este paraiso, que cada concierge que haya en este hotel sea como Matiel 🙏🏻 Esperamos muy pronto volver 🤞"
Secrets Cap Cana Resort & Spa,"Elegimos este destino para celebrar nuestro anivesario y fue la decision mas acertada,porque aparte de ser un lugar paradisiaco,quiero destacar la atencion de todo el personal del hotel,los trabajadores del bar(junior,blue,zuny,martha,manuela,marlon,felix,fidelina,madelia)que fueron atentos en todo momento.Pujois que estuvo atento de que no nos faltara de nada con su atencion y simpatia,a Joel que hizo qu nuestra llegada y nuestra partida fuera especial ,a Angelo que hizo que todos los dias fueran especiales,a Ericcson y Larry que hicieron de una noche cualquiera fuera una de las mas bonitas,a jesus que hizo que nos sintieramos colo en casa,tambien quiero agradecer al personal de limpieza y al personal de mantenimiento de los jardines que hacen posible que el lugar sea tan"
Secrets Cap Cana Resort & Spa,"Es la mejor experiencia para viajar en Santo Domingo. Excelentes instalaciones y el personal del hotel es increiblemente amable. Recuerdo a Phillippe, la persona que estuvo a cargo de mi hospedaje desde el momento en el cual llegue. Fue muy atento y amable. Y todo el personal que esta en la playa es muy amable, servicial y atento. Recuerdo a Maria, Vanessa, Chary, Benito y a Hector, quien ofrece un agua de coco deliciosa. Alla regresare. Fue una estadia maravillosa."
Secrets Cap Cana Resort & Spa,"Realmente increible el Resort. Fuimos por una semana junto a mi pareja, un amigo y su esposa, y realmente nos encanto. Todo empieza bien con la gran recepcion que te dan, luego las habitaciones e instalaciones en general son una maravilla. El equipo de animadores es realmente bueno, siempre incentivando a participar e inventando muchas actividades para mantener a todos entretenidos, quiero mencionar a ""La Diva"" quien siempre estuvo preocupada de involucrarnos y hacernos sentir parte en cada una de las actividades, con gran energia, carisma y dedicacion. En el bar de la piscina estan Elias y Agustin quienes siempre estuvieron dispuestos a darnos los mejores tragos para disfrutar, la calidad y alegria de ellos es impresionante. Los restaurantes son todos muy buenos, con gran"
Secrets Cap Cana Resort & Spa,"Visitamos este resort hace un mes con la idea de pasar unas buenas vacaciones con mi pareja. Si bien, no es de los mejores secrets el lugar Esta bonito y la comida decente. Solo mejoraria el servicio por parte del personal de los restaurantes."
